cluster_id,n_pixels,row_centroid,col_centroid,consensus_basis,index_votes_mean,b08_after_mean,b11_after_mean,b08_before_mean,b11_before_mean,adjudicated,easting,northing,lon,lat
S2WC_01624,6546,1523.11,120.12,NDWI_MNDWI_AWEI,2.924,0.0906,0.0481,0.3397,0.1595,false,-43.24,-22.45,-43.236946,-22.452361
S2WC_01237,3236,1202.83,203.3,NDWI_MNDWI_AWEI,2.982,0.098,0.0661,0.3012,0.206,false,-43.23,-22.42,-43.227943,-22.420333
S2WC_01890,3235,1532.41,538.41,NDWI_MNDWI_AWEI,2.879,0.1025,0.0701,0.3304,0.2111,false,-43.19,-22.45,-43.191677,-22.453291
S2WC_01451,2792,1359.6,97.06,NDWI_MNDWI_AWEI,2.955,0.0987,0.0549,0.3351,0.1945,false,-43.24,-22.44,-43.239442,-22.43601
S2WC_01446,2786,1343.2,291.48,NDWI_MNDWI_AWEI,2.975,0.0904,0.0511,0.3107,0.1691,false,-43.22,-22.43,-43.218401,-22.43437
S2WC_04061,2566,2388.29,1120.28,NDWI_MNDWI_AWEI,2.947,0.0858,0.0467,0.3645,0.1721,false,-43.13,-22.54,-43.128703,-22.538879
S2WC_01035,2306,1103.34,437.21,NDWI_MNDWI_AWEI,2.975,0.1071,0.0588,0.3557,0.1908,false,-43.2,-22.41,-43.202629,-22.410384
S2WC_02623,2288,1895.9,1384.76,NDWI_MNDWI_AWEI,2.938,0.1017,0.0544,0.3577,0.1594,false,-43.1,-22.49,-43.10008,-22.48964
S2WC_01918,2281,1544.12,287.38,NDWI_MNDWI_AWEI,2.931,0.0834,0.0435,0.3305,0.1696,false,-43.22,-22.45,-43.218845,-22.454462
S2WC_01425,2233,1354.35,846.43,NDWI_MNDWI_AWEI,2.959,0.1229,0.0794,0.332,0.2188,false,-43.16,-22.44,-43.158341,-22.435485
S2WC_04011,2171,2358.28,1232.67,NDWI_MNDWI_AWEI,2.96,0.0933,0.0525,0.3357,0.1647,false,-43.12,-22.54,-43.11654,-22.535878
S2WC_00266,2085,340.44,1493.65,NDWI_MNDWI_AWEI,2.981,0.1155,0.0659,0.3615,0.1897,false,-43.09,-22.33,-43.088296,-22.334094
S2WC_02010,2015,1567.04,934.83,NDWI_MNDWI_AWEI,2.818,0.1025,0.0722,0.3018,0.2278,false,-43.15,-22.46,-43.148774,-22.456754
S2WC_01249,1957,1200.36,620.71,NDWI_MNDWI_AWEI,2.988,0.1114,0.0603,0.34,0.1896,false,-43.18,-22.42,-43.18277,-22.420086
S2WC_01356,1902,1283.96,599.81,NDWI_MNDWI_AWEI,2.905,0.1025,0.0574,0.341,0.1974,false,-43.19,-22.43,-43.185031,-22.428446
S2WC_01098,1861,1138.32,505.28,NDWI_MNDWI_AWEI,2.982,0.1123,0.054,0.3672,0.1746,false,-43.2,-22.41,-43.195262,-22.413882
S2WC_01520,1750,1375.18,1408.35,NDWI_MNDWI_AWEI,2.957,0.1005,0.0521,0.3562,0.1999,false,-43.1,-22.44,-43.097527,-22.437568
S2WC_01188,1702,1186.16,1014.25,NDWI_MNDWI_AWEI,2.942,0.1157,0.081,0.3045,0.2019,false,-43.14,-22.42,-43.140178,-22.418666
S2WC_01083,1674,1118.64,324.96,NDWI_MNDWI_AWEI,2.992,0.1101,0.0611,0.3536,0.1588,false,-43.21,-22.41,-43.214778,-22.411914
S2WC_02710,1655,1910.35,1446.13,NDWI_MNDWI_AWEI,2.978,0.0924,0.0533,0.3621,0.1632,false,-43.09,-22.49,-43.093438,-22.491085
S2WC_03446,1474,2156.93,973.89,NDWI_MNDWI_AWEI,2.619,0.101,0.0662,0.3584,0.2145,false,-43.14,-22.52,-43.144547,-22.515743
S2WC_02484,1411,1817.52,1211.63,NDWI_MNDWI_AWEI,2.977,0.0903,0.0492,0.3423,0.1611,false,-43.12,-22.48,-43.118817,-22.481802
S2WC_02306,1389,1725.16,896.09,NDWI_MNDWI_AWEI,2.712,0.0764,0.0655,0.2783,0.2316,false,-43.15,-22.47,-43.152966,-22.472566
S2WC_02676,1375,1892.01,482.25,NDWI_MNDWI_AWEI,2.737,0.0611,0.0613,0.2709,0.2938,false,-43.2,-22.49,-43.197754,-22.489251
S2WC_03804,1264,2268.95,922.88,NDWI_MNDWI_AWEI,2.717,0.0831,0.0392,0.3725,0.1806,false,-43.15,-22.53,-43.150068,-22.526945
S2WC_02686,1246,1899.88,658.45,NDWI_MNDWI_AWEI,2.478,0.0802,0.0578,0.2816,0.2099,false,-43.18,-22.49,-43.178685,-22.490038
S2WC_00544,1193,663.08,1211.53,NDWI_MNDWI_AWEI,2.998,0.1252,0.0842,0.3286,0.2162,false,-43.12,-22.37,-43.118827,-22.366358
S2WC_00902,1191,1020.64,640.57,NDWI_MNDWI_AWEI,2.982,0.1259,0.0732,0.3451,0.1913,false,-43.18,-22.4,-43.18062,-22.402114
S2WC_02118,1138,1625.12,1019.36,NDWI_MNDWI_AWEI,2.86,0.1088,0.0886,0.2994,0.246,false,-43.14,-22.46,-43.139626,-22.462562
S2WC_00692,1136,865.28,1556.73,NDWI_MNDWI_AWEI,2.991,0.1245,0.0826,0.3096,0.2113,false,-43.08,-22.39,-43.081469,-22.386578
S2WC_00403,1121,485.95,1183.77,NDWI_MNDWI_AWEI,2.979,0.1114,0.0791,0.2989,0.2109,false,-43.12,-22.35,-43.121832,-22.348645
S2WC_00173,987,200.39,1136.21,NDWI_MNDWI_AWEI,3.0,0.1245,0.1157,0.2997,0.2891,false,-43.13,-22.32,-43.126979,-22.320089
S2WC_02257,946,1703.75,1002.03,NDWI_MNDWI_AWEI,2.618,0.0979,0.073,0.3346,0.2279,false,-43.14,-22.47,-43.141501,-22.470425
S2WC_01885,943,1502.17,640.25,NDWI_MNDWI_AWEI,2.892,0.1107,0.0821,0.2796,0.2009,false,-43.18,-22.45,-43.180655,-22.450267
S2WC_02170,932,1643.09,540.17,NDWI_MNDWI_AWEI,2.982,0.1133,0.0672,0.3342,0.1691,false,-43.19,-22.46,-43.191486,-22.464359
S2WC_01719,925,1453.87,292.37,NDWI_MNDWI_AWEI,2.971,0.1022,0.0684,0.2889,0.1489,false,-43.22,-22.45,-43.218305,-22.445437
S2WC_00875,917,979.52,1043.94,NDWI_MNDWI_AWEI,2.942,0.114,0.0909,0.2769,0.2108,false,-43.14,-22.4,-43.136965,-22.398002
S2WC_00125,835,163.64,101.43,NDWI_MNDWI_AWEI,2.501,0.1201,0.0843,0.2523,0.207,false,-43.24,-22.32,-43.238968,-22.316414
