window_id,region,event_date,cobrade,cobrade_label,s2id_protocol,s2id_status,s2id_mortos,s2id_desabrigados,s2id_desalojados,s2id_outros_afetados,localities_reported,hydrographic_evidence,news_source,evidence_tier,rank,phenomenon_inferred,adjudicated,notes
CUR_2025_02_03,Curitiba,2025-02-03,12300,Alagamentos,PR-F-4106902-12300-20250203,Registro,0,0,0,4040,Boqueirao; Xaxim; Pinheirinho; Parolin; Portao; Vila Izabel; Seminario,Ribeirao dos Padilhas transbordou no Xaxim (resgate de 7 adultos e 35 criancas em creche); Arroio Boa Vista; Corrego Henry Ford (Pinheirinho/Portao),Banda B 03/02/2025 (verificado por leitura direta da materia),FORTE,1,FLOOD_EXPLICIT,false,"23,4 mm entre 14h e 16h (Simepar); Defesa Civil sem desabrigados/desalojados"
CUR_2025_02_18,Curitiba,2025-02-18,12300,Alagamentos,PR-F-4106902-12300-20250218,Registro,0,0,0,2200,Centro (Rua Visconde de Nacar x Rua Saldanha Marinho); escolas alagadas,"Corrego Bigorrilho subiu 2,29 m e transbordou",massa.com.br; Banda B 18-19/02/2025,FORTE,2,FLOOD_EXPLICIT,false,"22,8 mm em 15 min; 34,6 mm acumulados (Simepar)"
CUR_2026_02_03,Curitiba,2026-02-03,12300,Alagamentos,PR-F-4106902-12300-20260203,Registro,0,0,0,1500,Centro (Av. Vicente Machado); Bairro Novo; Pilarzinho; Vista Alegre; Reboucas; Uberaba; Linha Verde,~40 pontos de alagamento em ao menos 10 bairros,Banda B; CBN Curitiba 03-04/02/2026,FORTE,3,FLOOD_EXPLICIT,false,"38,4 mm, sendo 26,6 mm em 15 min (estacao Jardim das Americas); 115 familias atendidas pela assistencia social"
CUR_2025_01_28,Curitiba,2025-01-28,12300,Alagamentos,PR-F-4106902-12300-20250128,Registro,0,0,12,1988,Centro Civico; Visconde de Nacar; Bairro Alto (Linha Verde); Merces (Visconde do Rio Branco),"Rio Ivo, canalizado, transbordou",BandNews FM Curitiba; Tribuna do Parana 28/01/2025,FORTE,4,FLOOD_EXPLICIT,false,"63,6 mm acumulados ate 17h30 (Defesa Civil municipal)"
CUR_2023_10_29,Curitiba,2023-10-29,12300,Alagamentos,PR-F-4106902-12300-20231029,Registro,0,0,152,0,"Caximba (extremo sul); monitoramento em Santa Felicidade, Pinheirinho, Butiatuvinha, Vila Izabel",risco de alagamento no Caximba,Banda B 29-30/10/2023,FORTE,5,FLOOD_EXPLICIT,false,94 mm em 24h; DIVERGENCIA: S2ID informa 152 desalojados e a materia da epoca afirma nenhum - conferir antes de usar
CUR_2025_02_27,Curitiba,2025-02-27,12300,Alagamentos,PR-F-4106902-12300-20250227,Registro,0,0,0,2000,,,nenhuma materia datada localizada,MEDIO,6,FLOOD_BY_COBRADE,false,
CUR_2026_01_14,Curitiba,2026-01-14,12300,Alagamentos,PR-F-4106902-12300-20260114,Registro,0,0,0,264,,,nenhuma materia datada localizada,MEDIO,7,FLOOD_BY_COBRADE,false,
CUR_2025_12_14,Curitiba,2025-12-14,12300,Alagamentos,PR-F-4106902-12300-20251214,Registro,0,0,0,240,,,nenhuma materia datada localizada,MEDIO,8,FLOOD_BY_COBRADE,false,
CUR_2023_10_12,Curitiba,2023-10-12,13214,Tempestade Local/Convectiva - Chuvas Intensas,PR-F-4106902-13214-20231012,Registro,0,19,0,1200,,,nenhuma materia datada localizada,MEDIO,9,TRIGGER_ONLY_NEEDS_TEXT_CHECK,false,
CUR_2025_03_11,Curitiba,2025-03-11,12300,Alagamentos,PR-F-4106902-12300-20250311,Registro,0,0,4,56,,,nenhuma materia datada localizada,MEDIO,10,FLOOD_BY_COBRADE,false,
CUR_2023_11_14,Curitiba,2023-11-14,22410,Transporte de produtos perigosos rodoviário,PR-F-4106902-22410-20231114,Registro,0,0,0,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2023_11_22,Curitiba,2023-11-22,12300,Alagamentos,PR-F-4106902-12300-20231122,Registro,0,0,0,0,,,nenhuma materia datada localizada,FRACO,,FLOOD_BY_COBRADE,false,
CUR_2023_12_04,Curitiba,2023-12-04,23120,Incêndios em aglomerados residenciais,PR-F-4106902-23120-20231204,Registro,0,0,35,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2023_12_29,Curitiba,2023-12-29,23120,Incêndios em aglomerados residenciais,PR-F-4106902-23120-20231229,Registro,0,0,6,6,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2023_12_30,Curitiba,2023-12-30,23120,Incêndios em aglomerados residenciais,PR-F-4106902-23120-20231230,Registro,0,0,32,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2024_04_21,Curitiba,2024-04-21,23120,Incêndios em aglomerados residenciais,PR-F-4106902-23120-20240421,Registro,0,0,24,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2024_08_16,Curitiba,2024-08-16,23120,Incêndios em aglomerados residenciais,PR-F-4106902-23120-20240816,Registro,0,0,31,0,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
CUR_2024_11_29,Curitiba,2024-11-29,13215,Tempestade Local/Convectiva - Vendaval,PR-F-4106902-13215-20241129,Registro,0,0,0,108,,,nenhuma materia datada localizada,EXCLUIDO,,OUT_OF_SCOPE,false,
