ano_fonte,data_criacao,assunto,subdivisao,situacao,logradouro,bairro,regional,origem,rank_key
2023,18/06/2023,Coleta,Resíduos vegetais de jardim,Concluído,AVENIDA DA INTEGRAÇÃO,BAIRRO ALTO,Unidade Regional Boa Vista,Telefone,20743
2023,18/06/2023,Coleta,Caliças até 5 carrinhos de mão,Concluído,AVENIDA DA INTEGRAÇÃO,BAIRRO ALTO,Unidade Regional Boa Vista,Telefone,20743
2023,30/03/2023,Coleta,Resíduos vegetais de jardim,Concluído,RUA PRESIDENTE RODRIGO OTÁVIO,ALTO DA RUA XV,Unidade Regional Matriz,Telefone,24912
2023,30/03/2023,Trânsito,Fiscalização de estacionamento irregular,Concluído,RUA PRESIDENTE RODRIGO OTÁVIO,ALTO DA RUA XV,Unidade Regional Matriz,Telefone,24912
2023,30/03/2023,Coleta,Resíduos vegetais de jardim,Concluído,RUA PRESIDENTE RODRIGO OTÁVIO,ALTO DA RUA XV,Unidade Regional Matriz,Telefone,24912
2023,01/02/2023,Coleta,Entulhos diversos (pequena quantidade),Concluído,RUA SANTO ANTÔNIO DA PLATINA,AUGUSTA,Unidade Regional CIC,Telefone,32598
2023,24/06/2023,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Francisco Das Chagas Lopes,BOA VISTA,Unidade Regional Boa Vista,Telefone,34524
2023,14/12/2023,Trânsito,Fiscalização imediata,Concluído,RUA DOUTOR JOSÉ CLÁUDIO RIBEIRO RENNO,CAMPO COMPRIDO,Unidade Regional Portao,Telefone,60867
2023,14/12/2023,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Reverendo Lauro de Castro,CAJURU,Unidade Regional Cajuru,Telefone,66001
2023,11/04/2023,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Tenente Max Wolf Filho,AGUA VERDE,Unidade Regional Portao,Portal,102109
2023,16/12/2023,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Ângelo Tozim,CAMPO DE SANTANA,Unidade Regional Tatuquara,Mobile,185843
2023,16/12/2023,Poluição,Sonora - Diurna,Concluído,Rua Ângelo Tozim,CAMPO DE SANTANA,Unidade Regional Tatuquara,Chat,185843
2023,27/08/2023,Lombada física,Implantação,Concluído,Doutor Cerqueira Lima,SAO BRAZ,Unidade Regional Santa Felicidade,Mobile,196594
2023,26/11/2023,Coleta,Resíduos vegetais de jardim,Concluído,Rua Augusto Fleischfresser,SAO BRAZ,Unidade Regional Santa Felicidade,Mobile,261056
2023,22/04/2023,Disque Solidariedade,Doações,Concluído,Rua Brigadeiro Franco,PAROLIN,Unidade Regional Portao,Chat,267520
2023,23/08/2023,Coleta,Resíduos vegetais de jardim,Concluído,RUA REZALA SIMÃO,PORTAO,Unidade Regional Portao,Telefone,284522
2023,19/12/2023,Coleta,Resíduos vegetais de jardim,Concluído,RUA ANGELO ZANOTTO,BUTIATUVINHA,Unidade Regional Santa Felicidade,Telefone,320123
2023,03/08/2023,Árvore,Poda de manutenção em árvores,Concluído,RUA JOSE LUCAS,JARDIM DAS AMERICAS,Unidade Regional Cajuru,Mobile,332879
2023,25/02/2023,Coleta,Caliças até 5 carrinhos de mão,Concluído,Rua Martha Gembaroski Tuleski,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,334583
2023,26/12/2023,Árvore,Poda de manutenção em árvores,Aberto,Rua Paul Garfunkel,CIDADE INDUSTRIAL,Unidade Regional CIC,Mobile,346751
2023,25/05/2023,Coleta,Resíduos vegetais de jardim,Concluído,Rua Humberto Mattana,CAPAO DA IMBUIA,Unidade Regional Cajuru,Portal,381223
2023,20/09/2023,Lombada física,Implantação,Concluído,RUA DEPUTADO CUNHA BUENO,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,399568
2023,02/05/2023,Coleta,Resíduos vegetais de jardim,Concluído,RUA MAJOR FABRICIANO DO REGO BARROS,HAUER,Unidade Regional Boqueirao,Telefone,407251
2023,06/02/2023,Cartão transporte,Cartão débito/crédito,Concluído,RUA PRESIDENTE CARLOS CAVALCANTI,CENTRO,Unidade Regional Matriz,Telefone,409690
2023,11/09/2023,Coleta,Resíduos vegetais de jardim,Concluído,RUA SAMUEL CEZAR,AGUA VERDE,Unidade Regional Portao,Telefone,412493
2023,23/10/2023,Árvore,Poda de manutenção em árvores,Concluído,RUA FRANCISCO NEGRÃO,AGUA VERDE,Unidade Regional Portao,Telefone,423980
2023,08/08/2023,Trânsito,Fiscalização de estacionamento irregular,Concluído,AVENIDA ÁGUA VERDE,AGUA VERDE,Unidade Regional Portao,Telefone,432118
2023,16/10/2023,Árvore,Poda de manutenção em árvores,Concluído,RUA DESEMBARGADOR ANTÔNIO DE PAULA,BOQUEIRAO,Unidade Regional Boqueirao,Telefone,434654
2023,25/10/2023,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua das Andorinhas,NOVO MUNDO,Unidade Regional Pinheirinho,Portal,451275
2023,15/08/2023,Trânsito,Fiscalização de bloqueio de pista,Concluído,RUA ARISTÓTELES DA SILVA SANTOS,BOQUEIRAO,Unidade Regional Boqueirao,Telefone,476057
2023,14/07/2023,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Vila Velha,CAJURU,Unidade Regional Cajuru,Telefone,482725
2023,05/12/2023,Trânsito,Fiscalização de estacionamento irregular,Concluído,RUA DESEMBARGADOR ARTHUR LEME,BACACHERI,Unidade Regional Boa Vista,Telefone,499264
2023,04/02/2023,Coleta,Caliças até 5 carrinhos de mão,Concluído,RUA JOÃO KASDORF,XAXIM,Unidade Regional Boqueirao,Telefone,506107
2023,16/05/2023,Coleta,Resíduos vegetais de jardim,Concluído,Rua João Ortolani,SANTA CANDIDA,Unidade Regional Boa Vista,Telefone,508605
2023,17/04/2023,Poluição,Sonora - Noturna,Concluído,Coronel Joaquim Ignácio Taborda Ribas,BIGORRILHO,Unidade Regional Matriz,Telefone,515774
2023,18/11/2023,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Capitão Ernesto dos Anjos Barbosa,NOVO MUNDO,Unidade Regional Pinheirinho,Portal,560984
2023,10/11/2023,Animais domésticos,Remoção de caninos mortos,Concluído,RUA HERALDO DE OLIVEIRA MELLO,CAJURU,Unidade Regional Cajuru,Telefone,581546
2023,21/11/2023,Coleta,Resíduos vegetais de jardim,Concluído,Rua Arcésio Guimarães,JARDIM SOCIAL,Unidade Regional Matriz,Portal,602869
2023,27/07/2023,Trânsito,Fiscalização imediata,Concluído,RUA CAMBÉ,SITIO CERCADO,Unidade Regional Bairro Novo,Telefone,610014
