data,n_reclamacoes_alagamento,arquivo_fonte,is_evento_v20i
01/01/2026,3,jan-fev/2026,False
01/02/2025,5,fev/2025,False
02/01/2026,1,jan-fev/2026,False
02/02/2025,1,jan-fev/2025,False
02/02/2026,1,jan-fev/2026,False
03/02/2025,46,fev/2025,True
03/02/2026,53,jan-fev/2026,True
04/02/2025,8,fev/2025,False
04/02/2026,18,jan-fev/2026,False
05/01/2026,2,jan-fev/2026,False
05/02/2025,8,fev/2025,False
06/01/2026,1,jan-fev/2026,False
06/02/2025,4,fev/2025,False
07/02/2025,1,fev/2025,False
08/01/2025,1,fev/2025,False
10/02/2025,4,fev/2025,False
11/01/2025,2,fev/2025,False
11/01/2026,1,jan-fev/2026,False
11/02/2025,1,fev/2025,False
12/01/2026,1,jan-fev/2026,False
12/02/2025,2,fev/2025,False
13/01/2026,1,jan-fev/2026,False
13/02/2025,44,fev/2025,False
14/01/2026,7,jan-fev/2026,False
14/02/2025,10,fev/2025,False
15/01/2026,2,jan-fev/2026,False
15/02/2025,2,fev/2025,False
16/01/2026,2,jan-fev/2026,False
17/02/2025,2,fev/2025,False
18/02/2025,90,fev/2025,True
19/02/2025,19,fev/2025,False
20/01/2025,2,fev/2025,False
21/01/2025,1,fev/2025,False
22/01/2025,9,fev/2025,False
24/01/2025,7,fev/2025,False
24/01/2026,1,jan-fev/2026,False
26/01/2025,4,fev/2025,False
26/01/2026,1,jan-fev/2026,False
27/01/2025,4,fev/2025,False
28/01/2025,57,fev/2025,True
29/01/2025,2,fev/2025,False
29/01/2026,5,jan-fev/2026,False
30/01/2025,4,fev/2025,False
31/01/2025,19,fev/2025,False
