regiao,rotulo,ponto_id,lat,lon,data_evento,ano_fonte,assunto,subdivisao,logradouro,bairro,nivel_confianca,nominatim_nome_exibicao,nominatim_osm_id,tipo_fonte_negativo,fenomeno_ocorrencia,papel_fonte_dataset,uso_permitido,uso_proibido
Curitiba,0,CUR_SIAC156_NEG_2a1b480b0f9155e3,-25.403682,-49.1995729,18/06/2023,2023,Coleta,Resíduos vegetais de jardim,AVENIDA DA INTEGRAÇÃO,BAIRRO ALTO,strong,"Avenida da Integração, Bairro Alto Paraíso, Bairro Alto, Curitiba, Paraná, Região Sul, 82840-200, Brasil",162130052,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_2a1b480b0f9155e3,-25.403682,-49.1995729,18/06/2023,2023,Coleta,Caliças até 5 carrinhos de mão,AVENIDA DA INTEGRAÇÃO,BAIRRO ALTO,strong,"Avenida da Integração, Bairro Alto Paraíso, Bairro Alto, Curitiba, Paraná, Região Sul, 82840-200, Brasil",162130052,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Caliças até 5 carrinhos de mão) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_27d4497e305c4e41,-25.4299249,-49.2450022,30/03/2023,2023,Coleta,Resíduos vegetais de jardim,RUA PRESIDENTE RODRIGO OTÁVIO,ALTO DA RUA XV,strong,"Rua Presidente Rodrigo Otávio, Cristo Rei, Curitiba, Paraná, Região Sul, 80045-380, Brasil",464380537,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_27d4497e305c4e41,-25.4299249,-49.2450022,30/03/2023,2023,Trânsito,Fiscalização de estacionamento irregular,RUA PRESIDENTE RODRIGO OTÁVIO,ALTO DA RUA XV,strong,"Rua Presidente Rodrigo Otávio, Cristo Rei, Curitiba, Paraná, Região Sul, 80045-380, Brasil",464380537,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_27d4497e305c4e41,-25.4299249,-49.2450022,30/03/2023,2023,Coleta,Resíduos vegetais de jardim,RUA PRESIDENTE RODRIGO OTÁVIO,ALTO DA RUA XV,strong,"Rua Presidente Rodrigo Otávio, Cristo Rei, Curitiba, Paraná, Região Sul, 80045-380, Brasil",464380537,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_8e68933a7e257f4a,-25.4556459,-49.3747554,01/02/2023,2023,Coleta,Entulhos diversos (pequena quantidade),RUA SANTO ANTÔNIO DA PLATINA,AUGUSTA,strong,"Rua Santo Antônio da Platina, Augusta, Curitiba, Paraná, Região Sul, 81290-260, Brasil",127528130,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Entulhos diversos (pequena quantidade)) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_8ff42483589ebd5b,-25.4615221,-49.3374616,14/12/2023,2023,Trânsito,Fiscalização imediata,RUA DOUTOR JOSÉ CLÁUDIO RIBEIRO RENNO,CAMPO COMPRIDO,strong,"Rua Doutor José Cláudio Ribeiro Renno, Campo Comprido, Curitiba, Paraná, Região Sul, 81230-162, Brasil",165356700,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização imediata) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_2611bd13589a607c,-25.4747268,-49.2005683,14/12/2023,2023,Coleta,Caliças até 5 carrinhos de mão,Rua Reverendo Lauro de Castro,CAJURU,strong,"Rua Reverendo Lauro de Castro, Cajuru, Curitiba, Paraná, Região Sul, 82980-190, Brasil",160718228,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Caliças até 5 carrinhos de mão) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_e2ed31dc297889e4,-25.4492834,-49.2809875,11/04/2023,2023,Coleta,Entulhos diversos (pequena quantidade),Rua Tenente Max Wolf Filho,AGUA VERDE,strong,"Rua Tenente Max Wolf Filho, Água Verde, Curitiba, Paraná, Região Sul, 80240-050, Brasil",173546195,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Entulhos diversos (pequena quantidade)) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_17798e70097730a8,-25.5833396,-49.3245778,16/12/2023,2023,Trânsito,Fiscalização de estacionamento irregular,Rua Ângelo Tozim,CAMPO DE SANTANA,strong,"Rua Ângelo Tozim, Vila Rurbana, Campo de Santana, Curitiba, Paraná, Região Sul, 81490-040, Brasil",1191925966,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_17798e70097730a8,-25.5833396,-49.3245778,16/12/2023,2023,Poluição,Sonora - Diurna,Rua Ângelo Tozim,CAMPO DE SANTANA,strong,"Rua Ângelo Tozim, Vila Rurbana, Campo de Santana, Curitiba, Paraná, Região Sul, 81490-040, Brasil",1191925966,siac156_curitiba_non_hydrological_category_v1,"non-flood (Poluição/Sonora - Diurna) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_45da2300b5b36ae0,-25.4194922,-49.3424385,27/08/2023,2023,Lombada física,Implantação,Doutor Cerqueira Lima,SAO BRAZ,strong,"Rua Doutor Cerqueira Lima, São Braz, Curitiba, Paraná, Região Sul, 82015-570, Brasil",137976601,siac156_curitiba_non_hydrological_category_v1,"non-flood (Lombada física/Implantação) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
