max_depth,n_estimators,learning_rate,holdout_auc
1,50,0.02,0.5467
1,50,0.05,0.5592
1,50,0.1,0.5572
1,100,0.02,0.5597
1,100,0.05,0.559
1,100,0.1,0.5644
1,200,0.02,0.5575
1,200,0.05,0.565
1,200,0.1,0.5621
2,50,0.02,0.5489
2,50,0.05,0.5703
2,50,0.1,0.5859
2,100,0.02,0.5708
2,100,0.05,0.5888
2,100,0.1,0.5917
2,200,0.02,0.5889
2,200,0.05,0.5931
2,200,0.1,0.5946
3,50,0.02,0.5847
3,50,0.05,0.5983
3,50,0.1,0.6138
3,100,0.02,0.5939
3,100,0.05,0.6085
3,100,0.1,0.6117
3,200,0.02,0.6091
3,200,0.05,0.6139
3,200,0.1,0.6287
